"Landings"	"YEAR"	"Quarter"	"lencat"	"effort"
260	1986	1	"10+"	4
6970	1988	2	"<10"	484
58603	1988	2	"10+"	4427
208	1988	3	"<10"	64
26249	1988	3	"10+"	1721
628	1988	4	"10+"	47
44	1989	1	"<10"	8
5157	1989	1	"10+"	636
711	1989	2	"<10"	109
8416	1989	2	"10+"	1530
278	1989	3	"<10"	87
16967	1989	3	"10+"	2005
921	1989	4	"10+"	54
871	1990	1	"<10"	327
23428	1990	1	"10+"	3187
2580	1990	2	"<10"	502
17510	1990	2	"10+"	1652
22578	1990	3	"<10"	1411
30736	1990	3	"10+"	1838
2496	1990	4	"<10"	152
1556	1990	4	"10+"	200
3290	1991	1	"<10"	278
5109	1991	1	"10+"	933
5818	1991	2	"<10"	960
22266	1991	2	"10+"	2779
9831	1991	3	"<10"	1614
51118	1991	3	"10+"	4470
4458	1991	4	"<10"	204
25143	1991	4	"10+"	846
5552	1992	1	"<10"	833
27614	1992	1	"10+"	2526
2756	1992	2	"<10"	342
3490	1992	2	"10+"	604
9147	1992	3	"<10"	1230
18226	1992	3	"10+"	2188
904	1992	4	"<10"	220
1236	1992	4	"10+"	101
6001	1993	1	"<10"	1130
34099	1993	1	"10+"	4489
9412	1993	2	"<10"	1484
54274	1993	2	"10+"	8315
3175	1993	3	"<10"	761
33898	1993	3	"10+"	3164
395	1993	4	"<10"	79
5110.9	1993	4	"10+"	341
93372.7	1994	1	"<10"	4948
623641.8	1994	1	"10+"	29145
140186.4	1994	2	"<10"	7750
596112.5	1994	2	"10+"	36362
267722.7	1994	3	"<10"	14261
1209886.8	1994	3	"10+"	58866
52203.5	1994	4	"<10"	2902
442613.5	1994	4	"10+"	18227
119547.4	1995	1	"<10"	5995
569511.1	1995	1	"10+"	28302
47680.8	1995	2	"<10"	3750
205281	1995	2	"10+"	15655
106964.6	1995	3	"<10"	6647
1047242.9	1995	3	"10+"	46272
33981.3	1995	4	"<10"	1521
328576.5	1995	4	"10+"	11162
68704.8	1996	1	"<10"	4072
315687.5	1996	1	"10+"	16720
90829.7	1996	2	"<10"	5718
270398.9	1996	2	"10+"	20255
157878.7	1996	3	"<10"	7484
978287.6	1996	3	"10+"	39088
72487.6	1996	4	"<10"	2918
403151	1996	4	"10+"	11745
152512.3	1997	1	"<10"	8376
611715.9	1997	1	"10+"	28964
18117.6	1997	2	"<10"	2760
97525.9	1997	2	"10+"	12472
114357.6	1997	3	"<10"	6371
832818.5	1997	3	"10+"	38196
30203.1	1997	4	"<10"	1612
211990.1	1997	4	"10+"	9180
95413.9	1998	1	"<10"	5642
695147.1	1998	1	"10+"	30569
8841.3	1998	2	"<10"	2161
32506.9	1998	2	"10+"	8841
60030.7	1998	3	"<10"	4519
510974	1998	3	"10+"	28859
36004.4	1998	4	"<10"	1712
565786.1	1998	4	"10+"	11741
150365.4	1999	1	"<10"	7446
973814.8	1999	1	"10+"	39534
26236.1	1999	2	"<10"	2956
128764.9	1999	2	"10+"	12685
102768.3	1999	3	"<10"	6832
640255.8	1999	3	"10+"	29794
8784.5	1999	4	"<10"	453
145299.9	1999	4	"10+"	5326
88952.9	2000	1	"<10"	4993
671117.5	2000	1	"10+"	28021
22596.5	2000	2	"<10"	2178
175840.8	2000	2	"10+"	14942
76638.1	2000	3	"<10"	4978
642673	2000	3	"10+"	28657
15032.3	2000	4	"<10"	757
193977.3	2000	4	"10+"	6423
211889.7	2001	1	"<10"	12952
657058.8	2001	1	"10+"	26124
49504.6	2001	2	"<10"	5397
135657.2	2001	2	"10+"	14721
140820.4	2001	3	"<10"	8352
780378.8	2001	3	"10+"	42551
45572.1	2001	4	"<10"	2749
230057.1	2001	4	"10+"	11709
123767.3	2002	1	"<10"	6223
504474.6	2002	1	"10+"	24579
60232	2002	2	"<10"	4178
216224.7	2002	2	"10+"	17505
139035.3	2002	3	"<10"	6980
472996	2002	3	"10+"	24486
41777.2	2002	4	"<10"	1709
140526.1	2002	4	"10+"	6282
182648.1	2003	1	"<10"	10645
582074.4	2003	1	"10+"	26237
34035.6	2003	2	"<10"	3266
108567.4	2003	2	"10+"	10634
179299.1	2003	3	"<10"	6943
666782.4	2003	3	"10+"	28990
53233	2003	4	"<10"	2554
199331.4	2003	4	"10+"	6813
182196.2	2004	1	"<10"	8010
469326.3	2004	1	"10+"	20955
49353.7	2004	2	"<10"	2451
53522	2004	2	"10+"	5794
180490.1	2004	3	"<10"	7174
663927	2004	3	"10+"	25982
66471.5	2004	4	"<10"	2491
247706.2	2004	4	"10+"	8644
175591.8	2005	1	"<10"	5975
591997.6	2005	1	"10+"	21290
89096.3	2005	2	"<10"	2973
129087.5	2005	2	"10+"	7606
389228.4	2005	3	"<10"	11648
1126462.4	2005	3	"10+"	42108
94554.8	2005	4	"<10"	3125
266796.6	2005	4	"10+"	10933
245075.1	2006	1	"<10"	9327
531858.5	2006	1	"10+"	23384
71105.9	2006	2	"<10"	8389
88428	2006	2	"10+"	10078
548936	2006	3	"<10"	24094
2131049	2006	3	"10+"	50469
150143.4	2006	4	"<10"	8140
647208	2006	4	"10+"	19037
296169.2	2007	1	"<10"	16602
869748	2007	1	"10+"	29758
71032	2007	2	"<10"	10782
40076.8	2007	2	"10+"	5940
224263.9	2007	3	"<10"	21023
754885.1	2007	3	"10+"	43480
60526.8	2007	4	"<10"	5863
187557.1	2007	4	"10+"	10781
138551	2008	1	"<10"	12479
167583	2008	1	"10+"	10624
46160.4	2008	2	"<10"	7975
42299.3	2008	2	"10+"	6869
117819.7	2008	3	"<10"	13158
277014.8	2008	3	"10+"	19388
47220.9	2008	4	"<10"	3557
102303	2008	4	"10+"	6221
203522.1	2009	1	"<10"	14814
392934.3	2009	1	"10+"	20838
35345.1	2009	2	"<10"	5324
29512	2009	2	"10+"	4713
207936.1	2009	3	"<10"	12178
954074.4	2009	3	"10+"	33641
69365.8	2009	4	"<10"	2956
317438.7	2009	4	"10+"	9883
183982.8	2010	1	"<10"	8476
447883.9	2010	1	"10+"	18581
